Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,379.9743347167969,678.0,680.0,676.0,676.0,626.0
2025-01-03,385.0182189941406,687.0,690.0,675.0,675.0,3965.0
2025-01-06,387.8203430175781,692.0,693.0,678.0,680.0,296.0
2025-01-07,386.6994934082031,690.0,693.0,686.0,688.0,1536.0
2025-01-08,383.3369140625,684.0,691.0,684.0,688.0,1261.0
2025-01-09,386.6994934082031,690.0,691.0,688.0,691.0,2880.0
2025-01-10,394.5456237792969,704.0,705.0,694.0,695.0,3047.0
2025-01-13,388.38079833984375,693.0,697.0,689.0,689.0,118.0
2025-01-14,391.1829833984375,698.0,704.0,696.0,698.0,734.0
2025-01-15,397.3477478027344,709.0,709.0,699.0,702.0,1544.0
2025-01-16,385.5786437988281,688.0,692.0,686.0,690.0,1439.0
2025-01-17,389.5016784667969,695.0,702.0,687.0,688.0,281.0
2025-01-20,388.38079833984375,693.0,698.0,693.0,694.0,183.0
2025-01-21,382.216064453125,682.0,689.0,682.0,685.0,656.0
2025-01-22,380.5347900390625,679.0,693.0,679.0,693.0,2911.0
2025-01-23,381.6556396484375,681.0,681.0,679.0,679.0,75.0
2025-01-24,367.6447448730469,656.0,656.0,646.0,649.0,100.0
2025-01-27,374.3699951171875,668.0,668.0,651.0,651.0,3085.0
2025-01-28,377.1721496582031,673.0,674.5,664.0,664.0,985.0
2025-01-29,378.8534240722656,676.0,676.0,665.0,665.0,177.0
2025-01-30,375.4908447265625,670.0,676.0,670.0,676.0,1046.0
2025-01-31,376.0513000488281,671.0,675.0,671.0,673.0,32.0
2025-02-03,374.3699951171875,668.0,676.0,668.0,676.0,771.0
2025-02-05,378.8534240722656,676.0,676.0,676.0,676.0,408.0
2025-02-06,379.4139404296875,677.0,678.0,677.0,678.0,231.0
2025-02-07,374.9304504394531,669.0,669.0,669.0,669.0,24.0
2025-02-10,381.6556396484375,681.0,691.0,680.0,680.0,775.0
2025-02-11,388.38079833984375,693.0,693.0,688.0,692.0,2364.0
2025-02-12,385.5786437988281,688.0,701.0,686.0,693.0,719.0
2025-02-13,374.3699951171875,668.0,668.0,668.0,668.0,62.0
2025-02-14,382.216064453125,682.0,686.0,667.0,667.0,304.0
2025-02-17,381.6556396484375,681.0,686.0,679.0,679.0,2819.0
2025-02-18,382.7765197753906,683.0,686.0,681.0,682.0,1518.0
2025-02-19,388.9412536621094,694.0,695.0,686.0,687.0,1782.0
2025-02-20,386.1390686035156,689.0,693.0,683.0,689.0,302.0
2025-02-21,389.5016784667969,695.0,695.0,695.0,695.0,26.0
2025-02-24,387.8203430175781,692.0,692.0,691.0,691.0,67.0
2025-02-25,386.1390686035156,689.0,689.0,689.0,689.0,14.0
2025-02-26,376.0513000488281,671.0,675.0,669.0,675.0,69.0
2025-02-27,373.2491455078125,666.0,669.0,658.0,661.0,628.0
2025-02-28,373.2491455078125,666.0,675.0,660.0,674.0,1003.0
2025-03-03,370.4469299316406,661.0,672.0,661.0,672.0,1673.0
2025-03-04,349.71087646484375,624.0,651.0,624.0,651.0,171.0
2025-03-05,338.5022277832031,604.0,632.0,604.0,631.0,1580.0
2025-03-06,337.9417419433594,603.0,609.0,599.0,604.0,915.0
2025-03-07,353.073486328125,630.0,630.0,614.0,614.0,1041.0
2025-03-10,354.7547607421875,633.0,635.0,626.0,633.0,2449.0
2025-03-11,340.1835021972656,607.0,611.0,585.0,593.0,866.0
2025-03-12,344.1065673828125,614.0,615.0,606.0,606.0,1422.0
2025-03-13,349.15045166015625,623.0,627.0,618.0,618.0,828.0
2025-03-14,348.0295715332031,621.0,626.0,619.0,623.0,1407.0
2025-03-17,365.40301513671875,652.0,652.0,640.0,640.0,2444.0
2025-03-18,382.7765197753906,683.0,683.0,660.0,661.0,2997.0
2025-03-19,384.4577941894531,686.0,686.0,673.0,685.0,3458.0
2025-03-20,386.6994934082031,690.0,697.0,686.0,697.0,1779.0
2025-03-21,381.11395263671875,680.0335083007812,697.0,664.0,695.0,10109.0
2025-03-24,361.47998046875,645.0,655.0,644.0,655.0,186.0
2025-03-25,364.84259033203125,651.0,660.0,646.0,649.0,2050.0
2025-03-26,368.2481689453125,657.07666015625,660.0,656.0,660.0,361.0
2025-03-27,363.7669982910156,649.0808715820312,656.0,649.0808715820312,653.0,356.0
2025-03-28,362.2716064453125,646.4125366210938,654.0,646.4125366210938,654.0,87.0
2025-03-31,358.1338806152344,639.0294189453125,639.0294189453125,634.0,634.0,115.0
2025-04-01,361.06201171875,644.2542114257812,652.0,642.0,648.0,556.0
2025-04-02,345.2274169921875,616.0,629.0,615.0,622.0,1387.0
2025-04-03,336.9637145996094,601.2548828125,611.0,601.2548828125,611.0,1069.0
2025-04-04,317.7164306640625,566.9113159179688,591.0,566.9113159179688,590.0,1658.0
2025-04-07,313.84307861328125,560.0,560.0,532.5,532.5,3253.0
