Date,Adj Close,Close,High,Low,Open,Volume
2025-01-03,225.2239990234375,235.0,238.0,235.0,237.0,0.0
2025-01-06,225.2239990234375,235.0,235.0,235.0,235.0,45.0
2025-01-07,228.0991973876953,238.0,238.0,238.0,238.0,5.0
2025-01-08,228.0991973876953,238.0,238.0,238.0,238.0,0.0
2025-01-09,228.0991973876953,238.0,238.0,238.0,238.0,0.0
2025-01-10,228.0991973876953,238.0,238.0,238.0,238.0,296.0
2025-01-13,227.14080810546875,237.0,237.0,237.0,237.0,12.0
2025-01-14,230.97439575195312,241.0,241.0,241.0,241.0,40.0
2025-01-16,230.97439575195312,241.0,241.0,241.0,241.0,90.0
2025-01-20,230.97439575195312,241.0,241.0,241.0,241.0,0.0
2025-01-21,231.93280029296875,242.0,242.0,242.0,242.0,9.0
2025-01-22,232.89120483398438,243.0,243.0,240.0,240.0,0.0
2025-01-23,232.89120483398438,243.0,243.0,243.0,243.0,1.0
2025-01-24,232.89120483398438,243.0,243.0,243.0,243.0,0.0
2025-01-27,230.01600646972656,240.0,241.0,240.0,241.0,18.0
2025-01-29,230.97439575195312,241.0,241.0,239.0,241.0,17.0
2025-01-30,232.89120483398438,243.0,243.0,243.0,243.0,0.0
2025-02-03,234.80799865722656,245.0,245.0,245.0,245.0,50.0
2025-02-04,234.80799865722656,245.0,246.0,244.0,244.0,171.0
2025-02-05,236.7248077392578,247.0,247.0,245.0,245.0,0.0
2025-02-06,236.7248077392578,247.0,248.0,247.0,248.0,8.0
2025-02-07,235.7664031982422,246.0,246.0,246.0,246.0,0.0
2025-02-10,235.7664031982422,246.0,246.0,246.0,246.0,21.0
2025-02-11,234.80799865722656,245.0,246.0,245.0,246.0,6.0
2025-02-12,235.7664031982422,246.0,246.0,246.0,246.0,0.0
2025-02-13,236.7248077392578,247.0,247.0,245.0,247.0,20.0
2025-02-14,236.7248077392578,247.0,247.0,247.0,247.0,0.0
2025-02-17,235.7664031982422,246.0,246.0,245.0,246.0,65.0
2025-02-18,233.849609375,244.0,246.0,244.0,246.0,12.0
2025-02-19,234.80799865722656,245.0,245.0,245.0,245.0,0.0
2025-02-20,235.7664031982422,246.0,246.0,246.0,246.0,47.0
2025-02-21,234.80799865722656,245.0,245.0,244.0,244.0,0.0
2025-02-24,235.7664031982422,246.0,246.0,244.0,246.0,159.0
2025-02-25,236.7248077392578,247.0,247.0,245.0,245.0,8.0
2025-02-26,236.7248077392578,247.0,247.0,246.0,246.0,149.0
2025-02-27,237.68319702148438,248.0,248.0,247.0,248.0,21.0
2025-02-28,237.68319702148438,248.0,248.0,248.0,248.0,72.0
2025-03-03,237.68319702148438,248.0,248.0,248.0,248.0,3.0
2025-03-04,237.68319702148438,248.0,249.0,248.0,249.0,101.0
2025-03-05,237.68319702148438,248.0,248.0,248.0,248.0,3.0
2025-03-06,237.68319702148438,248.0,248.0,247.0,247.0,17.0
2025-03-07,236.7248077392578,247.0,247.0,247.0,247.0,0.0
2025-03-10,237.68319702148438,248.0,249.0,248.0,249.0,7.0
2025-03-11,236.7248077392578,247.0,247.0,247.0,247.0,25.0
2025-03-12,235.7664031982422,246.0,246.0,246.0,246.0,1.0
2025-03-13,236.7248077392578,247.0,248.0,246.0,248.0,260.0
2025-03-14,236.7248077392578,247.0,248.0,247.0,248.0,4.0
2025-03-17,237.68319702148438,248.0,248.0,247.0,248.0,3.0
2025-03-18,235.7664031982422,246.0,248.0,246.0,248.0,170.0
2025-03-19,234.80799865722656,245.0,247.0,244.0,247.0,157.0
2025-03-20,233.849609375,244.0,245.0,244.0,245.0,18.0
2025-03-21,235.7664031982422,246.0,246.0,246.0,246.0,1.0
2025-03-24,237.68319702148438,248.0,248.0,245.0,247.0,53.0
2025-03-25,235.7664031982422,246.0,248.0,246.0,248.0,86.0
2025-03-26,235.7664031982422,246.0,246.0,246.0,246.0,187.0
2025-03-27,235.7664031982422,246.0,246.0,246.0,246.0,0.0
2025-03-28,236.7248077392578,247.0,247.0,247.0,247.0,2.0
2025-03-31,233.849609375,244.0,246.0,244.0,245.0,2.0
2025-04-01,232.89120483398438,243.0,244.0,243.0,244.0,101.0
2025-04-02,231.93280029296875,242.0,242.0,242.0,242.0,12764.0
2025-04-03,230.97439575195312,241.0,243.0,241.0,243.0,1.0
2025-04-04,225.2239990234375,235.0,241.0,235.0,241.0,54.0
2025-04-07,227.14080810546875,237.0,237.0,234.5,236.0,120.0
2025-04-08,234.80799865722656,245.0,245.5,240.0,242.0,10.0
2025-04-09,232.89120483398438,243.0,245.0,242.0,245.0,36.0
2025-04-10,236.48519897460938,246.75,247.5,245.0,246.0,77.0
2025-04-11,236.24560546875,246.5,247.5,246.5,247.5,40.0
2025-04-14,237.68319702148438,248.0,248.0,247.0,247.5,98.0
2025-04-15,237.68319702148438,248.0,248.0,247.0,247.0,9.0
2025-04-16,238.1623992919922,248.5,248.5,248.0,248.0,14.0
2025-04-17,238.1623992919922,248.5,248.5,248.0,248.0,66.0
2025-04-22,238.6416015625,249.0,249.0,248.5,249.0,29.0
2025-04-23,239.1208038330078,249.5,250.5,248.5,248.5,363.0
2025-04-24,240.5583953857422,251.0,251.0,249.5,249.5,37.0
2025-04-25,241.99600219726562,252.5,253.0,252.0,252.0,36.0
2025-04-28,242.95440673828125,253.5,254.0,253.0,253.0,566.0
2025-04-29,242.95440673828125,253.5,253.5,253.5,253.5,5.0
2025-04-30,242.95440673828125,253.5,254.0,253.5,254.0,30.0
2025-05-02,243.43360900878906,254.0,254.0,253.0,253.0,41.0
2025-05-06,242.95440673828125,253.5,253.5,253.0,253.5,155.0
