Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,77.4964599609375,80.5,82.0,80.5,81.0,0
2025-01-03,75.57108306884766,78.5,81.0,78.5,80.5,0
2025-01-06,76.53377532958984,79.5,80.5,78.5,78.5,0
2025-01-07,77.01512145996094,80.0,81.0,79.5,79.5,0
2025-01-08,74.6083984375,77.5,80.0,77.5,80.0,0
2025-01-09,75.08973693847656,78.0,79.0,77.0,77.0,0
2025-01-10,72.68301391601562,75.5,78.5,75.5,78.0,0
2025-01-13,72.20167541503906,75.0,76.0,75.0,75.5,0
2025-01-14,71.72032928466797,74.5,76.0,74.5,75.0,0
2025-01-15,74.1270523071289,77.0,78.0,74.5,74.5,0
2025-01-16,77.01512145996094,80.0,80.0,77.0,77.0,0
2025-01-17,80.86587524414062,84.0,85.0,80.5,80.5,0
2025-01-20,82.79125213623047,86.0,86.5,84.0,84.0,0
2025-01-21,82.79125213623047,86.0,87.0,86.0,86.0,0
2025-01-22,84.71662139892578,88.0,88.5,86.5,86.5,0
2025-01-23,84.71662139892578,88.0,90.0,88.0,88.0,0
2025-01-24,85.6793212890625,89.0,90.0,88.0,88.0,0
2025-01-27,85.6793212890625,89.0,90.0,89.0,89.5,0
2025-01-28,89.0487289428711,92.5,94.0,89.5,89.5,0
2025-01-29,90.01141357421875,93.5,95.0,92.5,92.5,0
2025-01-30,91.93679809570312,95.5,97.0,93.5,93.5,0
2025-01-31,90.97411346435547,94.5,96.5,94.5,95.5,0
2025-02-03,90.49276733398438,94.0,95.5,93.5,95.0,0
2025-02-04,89.53007507324219,93.0,95.0,93.0,94.0,0
2025-02-05,87.60469818115234,91.0,93.0,91.0,93.0,0
2025-02-06,88.0860366821289,91.5,93.0,91.5,91.5,0
2025-02-07,87.12335205078125,90.5,92.5,90.5,92.0,0
2025-02-10,88.0860366821289,91.5,92.5,91.0,91.0,0
2025-02-11,87.60469818115234,91.0,92.5,91.0,91.5,0
2025-02-12,87.12335205078125,90.5,92.5,90.5,91.0,0
2025-02-13,89.0487289428711,92.5,93.5,90.5,90.5,0
2025-02-14,89.0487289428711,92.5,93.5,92.5,92.5,0
2025-02-17,88.5673828125,92.0,93.0,91.5,93.0,0
2025-02-18,88.5673828125,92.0,93.5,91.5,91.5,0
2025-02-19,85.6793212890625,89.0,92.5,89.0,92.5,0
2025-02-20,86.1606674194336,89.5,91.0,89.5,89.5,0
2025-02-21,86.1606674194336,89.5,91.5,89.5,89.5,0
2025-02-24,86.1606674194336,89.5,91.5,89.5,89.5,0
2025-02-25,83.75393676757812,87.0,89.5,87.0,89.5,0
2025-02-26,84.71662139892578,88.0,89.5,87.5,87.5,0
2025-02-27,83.27259063720703,86.5,88.0,86.5,88.0,0
2025-02-28,82.79125213623047,86.0,87.0,86.0,86.5,0
2025-03-03,81.34721374511719,84.5,86.5,84.5,86.5,0
2025-03-04,80.86587524414062,84.0,86.0,84.0,84.5,0
2025-03-05,81.34721374511719,84.5,86.0,84.0,84.0,0
2025-03-06,82.79125213623047,86.0,87.5,84.5,84.5,0
2025-03-07,80.86587524414062,84.0,86.0,84.0,86.0,0
2025-03-10,78.45914459228516,81.5,85.0,81.5,84.0,0
2025-03-11,75.08973693847656,78.0,81.5,78.0,81.5,0
2025-03-12,79.90318298339844,83.0,83.0,78.0,78.0,0
2025-03-13,79.90318298339844,83.0,83.5,82.5,83.0,0
2025-03-14,77.4964599609375,80.5,83.5,80.5,83.0,0
2025-03-17,77.4964599609375,80.5,81.5,80.5,81.0,0
2025-03-18,77.01512145996094,80.0,81.0,80.0,80.0,0
2025-03-19,76.53377532958984,79.5,81.0,79.5,80.0,0
2025-03-20,76.05242919921875,79.0,81.0,79.0,79.5,0
2025-03-21,75.08973693847656,78.0,79.0,78.0,79.0,0
2025-03-24,75.57108306884766,78.5,79.5,78.0,78.0,0
2025-03-25,75.57108306884766,78.5,79.5,78.5,78.5,0
2025-03-26,75.08973693847656,78.0,79.0,78.0,78.5,0
2025-03-27,74.1270523071289,77.0,78.0,77.0,78.0,0
2025-03-28,72.20167541503906,75.0,77.0,75.0,77.0,0
2025-03-31,69.31360626220703,72.0,75.0,72.0,75.0,0
2025-04-01,70.27629089355469,73.0,74.0,72.0,72.0,0
2025-04-02,69.31360626220703,72.0,73.0,72.0,73.0,0
2025-04-03,66.42554473876953,69.0,72.0,69.0,72.0,0
2025-04-04,64.01881408691406,66.5,68.5,66.5,68.5,0
2025-04-07,59.68671417236328,62.0,64.5,62.0,64.5,0
2025-04-08,62.57478332519531,65.0,66.0,63.5,64.0,0
2025-04-09,61.612091064453125,64.0,64.5,63.5,63.5,20
2025-04-10,62.57478332519531,65.0,69.0,65.0,66.5,0
2025-04-11,62.57478332519531,65.0,66.0,65.0,65.5,0
2025-04-14,64.50016021728516,67.0,67.5,65.5,65.5,0
2025-04-15,65.94419860839844,68.5,69.0,67.5,67.5,0
2025-04-16,64.98149871826172,67.5,68.5,67.5,68.5,0
2025-04-17,64.01881408691406,66.5,67.5,66.5,67.5,0
2025-04-22,63.537471771240234,66.0,66.5,65.5,66.5,0
2025-04-23,65.94419860839844,68.5,69.5,66.0,66.0,0
2025-04-24,66.1156005859375,67.5,68.5,66.5,68.5,0
2025-04-25,66.6053466796875,68.0,68.5,67.5,67.5,0
2025-04-28,66.1156005859375,67.5,69.0,67.5,68.0,0
2025-04-29,64.6463623046875,66.0,68.5,66.0,67.5,0
2025-04-30,66.1156005859375,67.5,68.5,66.5,66.5,0
