Date,Adj Close,Close,High,Low,Open,Volume
2025-01-06,449.2635498046875,475.0,479.0,474.5,479.0,227600.0
2025-01-07,448.7906494140625,474.5,475.5,473.0,475.5,36200.0
2025-01-08,445.9532165527344,471.5,474.5,471.5,474.5,26400.0
2025-01-09,441.22412109375,466.5,472.0,464.0,471.0,51200.0
2025-01-10,438.8595886230469,464.0,470.0,463.5,465.0,69200.0
2025-01-14,458.24884033203125,484.5,494.0,482.0,482.5,191200.0
2025-01-15,458.24884033203125,484.5,487.5,480.0,483.5,41600.0
2025-01-16,453.0468444824219,479.0,486.5,479.0,485.5,58600.0
2025-01-17,450.2093811035156,476.0,480.5,474.0,476.0,33200.0
2025-01-20,454.465576171875,480.5,484.5,476.5,477.0,21800.0
2025-01-21,454.465576171875,480.5,484.5,480.5,480.5,15600.0
2025-01-22,453.5197448730469,479.5,483.0,479.5,483.0,8400.0
2025-01-23,455.4114074707031,481.5,482.5,479.5,481.0,9200.0
2025-01-24,460.6133728027344,487.0,487.0,481.5,485.0,22000.0
2025-01-27,460.1405029296875,486.5,490.0,486.0,487.0,19400.0
2025-01-28,459.1946716308594,485.5,490.0,483.5,486.5,22800.0
2025-01-29,456.8301086425781,483.0,486.0,483.0,483.5,17400.0
2025-01-30,445.00738525390625,470.5,486.5,470.5,481.0,202200.0
2025-01-31,449.2635498046875,475.0,480.0,474.5,474.5,41400.0
2025-02-03,451.62811279296875,477.5,482.5,474.0,475.5,37000.0
2025-02-04,459.1946716308594,485.5,491.0,482.0,482.0,48000.0
2025-02-05,461.0862731933594,487.5,490.0,482.0,484.5,21800.0
2025-02-06,458.72174072265625,485.0,490.0,483.0,487.5,11800.0
2025-02-07,459.6675720214844,486.0,491.0,484.5,485.0,16000.0
2025-02-10,469.1257629394531,496.0,496.0,486.5,486.5,52000.0
2025-02-12,475.2735595703125,502.5,502.5,491.0,496.0,58400.0
2025-02-13,474.3277587890625,501.5,501.5,497.5,498.0,22000.0
2025-02-14,476.6922912597656,504.0,505.0,497.0,501.5,55600.0
2025-02-17,458.72174072265625,485.0,493.0,481.5,489.0,145000.0
2025-02-18,461.0862731933594,487.5,487.5,484.0,485.0,39000.0
2025-02-19,459.1946716308594,485.5,488.5,485.0,485.0,32000.0
2025-02-20,457.30303955078125,483.5,492.0,483.0,488.5,52600.0
2025-02-21,464.39666748046875,491.0,491.0,483.0,486.0,19800.0
2025-02-25,467.234130859375,494.0,500.0,491.5,497.5,67600.0
2025-02-26,466.7611999511719,493.5,498.5,490.5,494.0,34800.0
2025-02-27,468.179931640625,495.0,500.0,493.5,493.5,25800.0
2025-02-28,465.34246826171875,492.0,496.5,492.0,495.0,26000.0
2025-03-03,472.43609619140625,499.5,500.0,497.0,497.5,81200.0
2025-03-04,469.5986633300781,496.5,501.0,496.0,500.0,28000.0
2025-03-05,477.6380920410156,505.0,505.0,496.5,496.5,23800.0
2025-03-06,474.8006286621094,502.0,508.0,500.5,505.5,28400.0
2025-03-07,473.3819274902344,500.5,504.0,498.5,500.0,27600.0
2025-03-10,476.6922912597656,504.0,506.5,500.5,506.0,24400.0
2025-03-11,472.90899658203125,500.0,503.0,492.5,502.0,66800.0
2025-03-12,477.1651916503906,504.5,505.0,500.0,500.0,9000.0
2025-03-13,484.2588195800781,512.0,517.0,505.0,505.0,37800.0
2025-03-14,482.3671875,510.0,514.5,508.0,512.0,23000.0
2025-03-17,485.20465087890625,513.0,518.0,512.0,512.0,50800.0
2025-03-18,487.5691833496094,515.5,523.5,513.0,513.0,43800.0
2025-03-19,484.7317199707031,512.5,525.0,512.5,515.5,61200.0
2025-03-21,487.5691833496094,515.5,518.0,510.0,512.5,44400.0
2025-03-24,488.9879150390625,517.0,518.0,513.5,515.5,39400.0
2025-03-25,487.5691833496094,515.5,517.5,514.0,517.0,13800.0
2025-03-26,486.62335205078125,514.5,517.5,514.0,514.5,29200.0
2025-03-27,491.82537841796875,520.0,520.5,515.0,515.5,66800.0
2025-03-28,487.5691833496094,515.5,520.0,515.5,520.0,19200.0
2025-03-31,483.3130187988281,511.0,515.0,508.0,513.0,44800.0
2025-04-01,479.52972412109375,507.0,512.0,507.0,511.0,21600.0
2025-04-02,474.3277587890625,501.5,508.0,501.5,507.5,38800.0
2025-04-03,470.5444641113281,497.5,502.5,493.0,495.0,51600.0
2025-04-04,459.1946716308594,485.5,499.5,480.0,493.0,72000.0
2025-04-07,438.38665771484375,463.5,480.0,460.0,460.0,87400.0
2025-04-08,467.234130859375,494.0,498.0,480.0,480.0,62600.0
2025-04-09,458.24884033203125,484.5,494.0,480.0,489.5,62000.0
2025-04-10,470.5444641113281,497.5,508.5,492.0,495.0,49600.0
2025-04-11,468.65283203125,495.5,501.0,492.5,493.0,37800.0
2025-04-14,480.0026550292969,507.5,508.5,500.5,500.5,45000.0
2025-04-15,481.894287109375,509.5,513.0,509.0,509.0,31800.0
2025-04-16,483.3130187988281,511.0,511.5,508.0,509.5,20200.0
