Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,2546.09912109375,2547.5,2557.5,2520.0,2534.5,3139437.0
2025-01-03,2447.153564453125,2448.5,2558.0,2442.0,2554.0,3120959.0
2025-01-06,2502.123291015625,2503.5,2521.0,2420.5,2441.5,4893705.0
2025-01-07,2505.121826171875,2506.5,2540.5,2493.697998046875,2508.5,2689024.0
2025-01-08,2524.611083984375,2526.0,2534.0,2492.5,2494.0,2425126.0
2025-01-09,2553.594970703125,2555.0,2567.5,2521.376953125,2528.0,1949866.0
2025-01-10,2445.15478515625,2446.5,2548.0,2446.5,2540.5,4582995.0
2025-01-13,2390.18505859375,2391.5,2433.0,2368.5,2418.5,4501118.0
2025-01-14,2335.71484375,2337.0,2403.5,2326.0,2397.0,4833513.0
2025-01-15,2359.201904296875,2360.5,2373.0,2340.0,2349.0,6735682.0
2025-01-16,2376.6923828125,2378.0,2406.0,2356.5,2376.0,3017079.0
2025-01-17,2433.161376953125,2434.5,2439.5,2404.0,2410.0,2706775.0
2025-01-20,2436.659423828125,2438.0,2445.0,2408.0,2436.0,2172557.0
2025-01-21,2428.164306640625,2429.5,2429.5,2398.0,2415.0,2672557.0
2025-01-22,2397.68115234375,2399.0,2436.43994140625,2378.5,2421.5,6542931.0
2025-01-23,2400.179443359375,2401.5,2408.5,2376.5,2391.0,2213067.0
2025-01-24,2502.123291015625,2503.5,2565.0,2403.5,2408.0,5767212.0
2025-01-27,2492.12890625,2493.5,2500.0,2467.860107421875,2487.5,2284045.0
2025-01-28,2493.6279296875,2495.0,2535.0,2495.0,2501.0,2172277.0
2025-01-29,2425.16552734375,2426.5,2474.5,2425.0,2465.0,3476301.0
2025-01-30,2426.664794921875,2428.0,2450.0,2415.5,2432.5,3465121.0
2025-01-31,2417.669677734375,2419.0,2450.0,2398.0,2431.0,4287727.0
2025-02-03,2363.69970703125,2365.0,2378.5,2325.5,2350.0,4056368.0
2025-02-04,2326.22021484375,2327.5,2373.0,2261.0,2292.0,6234731.0
2025-02-05,2233.77099609375,2235.0,2338.0,2231.5,2306.0,6091102.0
2025-02-06,2251.26123046875,2252.5,2280.320068359375,2226.0,2242.5,4337165.0
2025-02-07,2220.778076171875,2222.0,2262.5,2218.5,2250.5,4357279.0
2025-02-10,2194.79248046875,2196.0,2228.5,2193.5,2222.0,2651934.0
2025-02-11,2169.306640625,2170.5,2202.5,2155.5,2199.0,3475851.0
2025-02-12,2132.826416015625,2134.0,2189.0,2125.0,2186.0,4092716.0
2025-02-13,2183.798583984375,2185.0,2224.5,2138.5,2165.5,3953242.0
2025-02-14,2144.3203125,2145.5,2186.5,2141.0,2182.0,2745310.0
2025-02-17,2150.31689453125,2151.5,2157.0,2126.0,2137.0,2916431.0
2025-02-18,2144.81982421875,2146.0,2166.5,2108.0,2155.5,6349091.0
2025-02-19,2112.337890625,2113.5,2154.449951171875,2113.5,2143.5,3090811.0
2025-02-20,2122.332275390625,2123.5,2139.5,2098.5,2111.0,3317929.0
2025-02-21,2188.7958984375,2190.0,2192.0,2145.5,2150.0,3799399.0
2025-02-24,2197.791015625,2199.0,2210.0,2160.159912109375,2206.0,3533622.0
2025-02-25,2173.304443359375,2174.5,2196.5,2172.0,2185.0,2371294.0
2025-02-26,2181.799560546875,2183.0,2205.0,2170.5,2176.0,2972809.0
2025-02-27,2132.134521484375,2133.0,2142.5,2099.0,2132.0,4287800.0
2025-02-28,2162.122314453125,2163.0,2171.70703125,2109.0,2113.5,8391211.0
2025-03-03,2164.621337890625,2165.5,2180.0,2134.320068359375,2180.0,3887794.0
2025-03-04,2142.130615234375,2143.0,2162.0,2124.0,2147.5,2781641.0
2025-03-05,2200.10693359375,2201.0,2226.0,2133.5,2147.0,7410606.0
2025-03-06,2214.101318359375,2215.0,2215.0,2149.0,2198.0,5963856.0
2025-03-07,2175.61669921875,2176.5,2222.5,2146.5,2220.0,4839485.0
2025-03-10,2182.1142578125,2183.0,2204.5,2135.5,2176.5,5961855.0
2025-03-11,2123.13818359375,2124.0,2219.5,2113.5,2187.0,3537615.0
2025-03-12,2086.153076171875,2087.0,2159.0,2087.0,2130.5,4411596.0
2025-03-13,2081.655029296875,2082.5,2108.0,2050.0,2076.0,3982400.0
2025-03-14,2064.661865234375,2065.5,2094.0,2051.22900390625,2089.5,5951519.0
2025-03-17,2079.656005859375,2080.5,2089.5,2050.5,2070.5,3196144.0
