Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,825.0,825.0,850.0,820.0,830.0,166000.0
2025-01-03,810.0,810.0,835.0,800.0,825.0,135700.0
2025-01-06,865.0,865.0,935.0,810.0,810.0,687000.0
2025-01-07,850.0,850.0,865.0,830.0,865.0,175300.0
2025-01-08,880.0,880.0,905.0,835.0,850.0,1316300.0
2025-01-09,860.0,860.0,880.0,840.0,880.0,91000.0
2025-01-10,875.0,875.0,880.0,850.0,860.0,74600.0
2025-01-13,880.0,880.0,900.0,850.0,850.0,943800.0
2025-01-14,875.0,875.0,880.0,850.0,860.0,437100.0
2025-01-15,885.0,885.0,885.0,850.0,880.0,92000.0
2025-01-16,875.0,875.0,910.0,875.0,910.0,28700.0
2025-01-17,820.0,820.0,875.0,805.0,875.0,70700.0
2025-01-20,810.0,810.0,820.0,800.0,820.0,35300.0
2025-01-21,790.0,790.0,800.0,750.0,800.0,64900.0
2025-01-22,800.0,800.0,830.0,790.0,800.0,13800.0
2025-01-23,770.0,770.0,805.0,765.0,805.0,30200.0
2025-01-24,675.0,675.0,730.0,615.0,730.0,539100.0
2025-01-30,640.0,640.0,840.0,630.0,840.0,549700.0
2025-01-31,720.0,720.0,780.0,640.0,680.0,644000.0
2025-02-03,710.0,710.0,770.0,660.0,725.0,304000.0
2025-02-04,680.0,680.0,715.0,650.0,715.0,646600.0
2025-02-05,660.0,660.0,690.0,650.0,690.0,161000.0
2025-02-06,660.0,660.0,675.0,625.0,660.0,140700.0
2025-02-07,615.0,615.0,660.0,610.0,630.0,193500.0
2025-02-10,580.0,580.0,625.0,570.0,610.0,82300.0
2025-02-11,565.0,565.0,640.0,545.0,580.0,108400.0
2025-02-12,555.0,555.0,590.0,520.0,565.0,132700.0
2025-02-13,530.0,530.0,555.0,525.0,555.0,78200.0
2025-02-14,515.0,515.0,555.0,510.0,540.0,226500.0
2025-02-17,610.0,610.0,640.0,515.0,515.0,2196200.0
2025-02-18,585.0,585.0,620.0,570.0,620.0,400300.0
2025-02-19,585.0,585.0,595.0,550.0,590.0,270200.0
2025-02-20,595.0,595.0,610.0,535.0,585.0,544200.0
2025-02-21,595.0,595.0,595.0,560.0,590.0,234700.0
2025-02-24,590.0,590.0,620.0,565.0,565.0,97900.0
2025-02-25,590.0,590.0,590.0,550.0,585.0,107400.0
2025-02-26,565.0,565.0,585.0,565.0,585.0,25600.0
2025-02-27,605.0,605.0,620.0,540.0,565.0,153400.0
2025-02-28,600.0,600.0,605.0,550.0,605.0,200200.0
2025-03-03,620.0,620.0,620.0,580.0,585.0,93300.0
2025-03-04,620.0,620.0,620.0,580.0,620.0,128700.0
