Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,539.0,539.0,539.0,539.0,539.0,46669.0
2025-01-03,539.0,539.0,539.0,539.0,539.0,0.0
2025-01-06,539.0,539.0,539.0,539.0,539.0,0.0
2025-01-07,514.0,514.0,539.0,513.0,515.0,258788.0
2025-01-08,518.0,518.0,539.0,518.0,539.0,1671.0
2025-01-09,535.0,535.0,539.0,518.0,539.0,6325.0
2025-01-10,534.0,534.0,534.0,513.0,534.0,9118.0
2025-01-13,507.0,507.0,513.0,507.0,513.0,23968.0
2025-01-14,500.0,500.0,507.0,498.0,507.0,157241.0
2025-01-15,519.0,519.0,520.0,519.0,520.0,2878.0
2025-01-16,510.0,510.0,510.0,493.0,493.0,38.0
2025-01-17,523.0,523.0,523.0,498.0,518.0,7162.0
2025-01-20,510.0,510.0,515.0,498.0,498.0,106538.0
2025-01-21,488.0,488.0,510.0,488.0,498.0,9991.0
2025-01-22,510.0,510.0,510.0,510.0,510.0,200.0
2025-01-23,500.0,500.0,500.0,488.0,488.0,46128.0
2025-01-24,500.0,500.0,510.0,485.0,510.0,204222.0
2025-01-27,500.0,500.0,500.0,500.0,500.0,0.0
2025-01-28,490.0,490.0,500.0,475.0,500.0,341817.0
2025-01-29,501.0,501.0,501.0,501.0,501.0,200.0
2025-01-30,530.0,530.0,530.0,502.0,502.0,78869.0
2025-01-31,530.0,530.0,530.0,494.0,504.0,132927.0
2025-02-03,530.0,530.0,530.0,530.0,530.0,12832.0
2025-02-04,519.0,519.0,519.0,494.0,494.0,64871.0
2025-02-05,495.0,495.0,520.0,495.0,519.0,14374.0
2025-02-06,495.0,495.0,520.0,495.0,495.0,22268.0
2025-02-07,495.0,495.0,495.0,495.0,495.0,12510.0
2025-02-10,519.0,519.0,519.0,495.0,495.0,86292.0
2025-02-11,500.0,500.0,500.0,489.0,489.0,3562.0
2025-02-12,479.0,479.0,500.0,479.0,500.0,95898.0
2025-02-13,498.0,498.0,498.0,498.0,498.0,200.0
2025-02-14,479.0,479.0,497.0,479.0,480.0,59433.0
2025-02-17,493.0,493.0,498.0,493.0,498.0,177906.0
2025-02-18,490.0,490.0,490.0,469.0,480.0,76925.0
2025-02-19,490.0,490.0,490.0,490.0,490.0,0.0
2025-02-20,490.0,490.0,490.0,490.0,490.0,27212.0
2025-02-21,465.0,465.0,487.0,464.0,490.0,81400.0
2025-02-24,480.0,480.0,487.0,480.0,480.0,53595.0
2025-02-25,490.0,490.0,490.0,470.0,474.0,58955.0
2025-02-26,488.0,488.0,490.0,470.0,475.0,52838.0
2025-02-27,470.0,470.0,490.0,450.0,470.0,262251.0
2025-02-28,485.0,485.0,485.0,485.0,485.0,11157.0
2025-03-03,490.0,490.0,490.0,465.0,465.0,1529.0
2025-03-04,490.0,490.0,490.0,465.0,467.0,6930.0
2025-03-05,490.0,490.0,490.0,465.0,490.0,14842.0
2025-03-06,490.0,490.0,490.0,490.0,490.0,0.0
2025-03-07,490.0,490.0,490.0,455.0,465.0,46377.0
2025-03-10,487.0,487.0,487.0,487.0,487.0,110000.0
2025-03-11,470.0,470.0,487.0,470.0,482.0,17268.0
2025-03-12,475.0,475.0,500.0,475.0,488.0,892728.0
2025-03-13,465.0,465.0,490.0,465.0,490.0,1590227.0
2025-03-14,465.0,465.0,488.0,465.0,488.0,676139.0
