Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,7.0,7.0,7.0,7.0,7.0,0.0
2025-01-03,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,100.0
2025-01-06,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,0.0
2025-01-07,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,0.0
2025-01-08,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,0.0
2025-01-10,7.5,7.5,7.5,7.449999809265137,7.449999809265137,2700.0
2025-01-13,8.0,8.0,8.0,7.900000095367432,7.900000095367432,6200.0
2025-01-14,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-15,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-16,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-17,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-21,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-22,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-23,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-24,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-27,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-28,8.0,8.0,8.0,8.0,8.0,300.0
2025-01-29,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-30,8.0,8.0,8.0,8.0,8.0,0.0
2025-01-31,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-03,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-04,8.0,8.0,8.0,8.0,8.0,6700.0
2025-02-05,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-06,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-07,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-10,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-11,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-12,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-13,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-14,8.0,8.0,8.0,8.0,8.0,0.0
2025-02-18,8.0,8.0,8.0,8.0,8.0,0.0
