Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,274.0,274.0,276.0,272.0,274.0,516.0
2025-01-03,276.0,276.0,276.0,274.0,276.0,422.0
2025-01-06,276.0,276.0,276.0,276.0,276.0,282.0
2025-01-07,276.0,276.0,276.0,274.0,274.0,572.0
2025-01-08,274.0,274.0,276.0,274.0,276.0,3393.0
2025-01-09,276.0,276.0,276.0,270.0,272.0,758.0
2025-01-10,276.0,276.0,276.0,272.0,276.0,2417.0
2025-01-13,274.0,274.0,276.0,274.0,276.0,4095.0
2025-01-14,274.0,274.0,274.0,274.0,274.0,139.0
2025-01-15,276.0,276.0,276.0,276.0,276.0,18.0
2025-01-16,274.0,274.0,276.0,274.0,276.0,404.0
2025-01-17,276.0,276.0,276.0,274.0,276.0,887.0
2025-01-20,278.0,278.0,278.0,274.0,276.0,2451.0
2025-01-21,276.0,276.0,276.0,274.0,274.0,1286.0
2025-01-22,272.0,272.0,278.0,272.0,278.0,2463.0
2025-01-23,270.0,270.0,276.0,270.0,276.0,6965.0
2025-01-24,270.0,270.0,270.0,270.0,270.0,967.0
2025-01-27,270.0,270.0,270.0,270.0,270.0,850.0
2025-01-28,266.0,266.0,270.0,266.0,270.0,950.0
2025-01-29,262.0,262.0,268.0,258.0,268.0,21085.0
2025-01-30,258.0,258.0,264.0,258.0,264.0,4848.0
2025-01-31,260.0,260.0,260.0,256.0,258.0,3486.0
2025-02-03,260.0,260.0,264.0,256.0,260.0,2671.0
2025-02-04,258.0,258.0,260.0,258.0,260.0,1489.0
2025-02-05,258.0,258.0,260.0,256.0,260.0,478.0
2025-02-06,258.0,258.0,264.0,258.0,258.0,7986.0
2025-02-07,260.0,260.0,260.0,258.0,258.0,2363.0
2025-02-10,260.0,260.0,262.0,258.0,262.0,1315.0
2025-02-11,260.0,260.0,262.0,258.0,260.0,1336.0
2025-02-12,260.0,260.0,260.0,258.0,260.0,725.0
2025-02-13,260.0,260.0,260.0,258.0,260.0,1896.0
2025-02-14,260.0,260.0,264.0,258.0,262.0,2176.0
2025-02-17,260.0,260.0,264.0,258.0,260.0,2683.0
2025-02-18,260.0,260.0,260.0,258.0,260.0,1459.0
2025-02-19,256.0,256.0,260.0,254.0,260.0,11502.0
2025-02-20,260.0,260.0,262.0,256.0,256.0,582.0
2025-02-21,260.0,260.0,260.0,258.0,260.0,2816.0
2025-02-24,260.0,260.0,260.0,258.0,260.0,2507.0
2025-02-25,260.0,260.0,260.0,254.0,260.0,734.0
2025-02-26,260.0,260.0,260.0,256.0,256.0,690.0
2025-02-27,250.0,250.0,260.0,248.0,258.0,23198.0
2025-02-28,252.0,252.0,252.0,248.0,250.0,4677.0
2025-03-03,258.0,258.0,258.0,248.0,248.0,3210.0
2025-03-04,248.0,248.0,258.0,248.0,258.0,12503.0
2025-03-05,258.0,258.0,258.0,248.0,248.0,3224.0
2025-03-06,256.0,256.0,256.0,250.0,256.0,775.0
2025-03-07,256.0,256.0,256.0,256.0,256.0,100.0
2025-03-10,262.0,262.0,262.0,258.0,258.0,5007.0
2025-03-11,264.0,264.0,264.0,262.0,264.0,667.0
2025-03-12,260.0,260.0,266.0,252.0,266.0,14212.0
2025-03-13,260.0,260.0,264.0,254.0,260.0,1719.0
2025-03-14,264.0,264.0,264.0,260.0,262.0,1352.0
2025-03-17,264.0,264.0,266.0,262.0,266.0,106.0
2025-03-18,266.0,266.0,266.0,264.0,264.0,1395.0
2025-03-19,266.0,266.0,266.0,262.0,266.0,136.0
2025-03-20,260.0,260.0,266.0,256.0,266.0,3631.0
2025-03-21,264.0,264.0,264.0,260.0,264.0,1150.0
2025-03-24,264.0,264.0,264.0,256.0,260.0,821.0
2025-03-25,264.0,264.0,266.0,258.0,258.0,670.0
2025-03-26,256.0,256.0,264.0,256.0,264.0,4121.0
2025-03-27,262.0,262.0,262.0,258.0,260.0,591.0
2025-03-28,262.0,262.0,262.0,258.0,262.0,652.0
2025-03-31,262.0,262.0,264.0,256.0,264.0,1155.0
2025-04-01,260.0,260.0,262.0,256.0,262.0,604.0
2025-04-02,258.0,258.0,264.0,258.0,262.0,1694.0
2025-04-03,256.0,256.0,262.0,256.0,258.0,2369.0
2025-04-04,254.0,254.0,254.0,248.0,254.0,11239.0
2025-04-07,246.0,246.0,250.0,238.0,248.0,10613.0
2025-04-08,250.0,250.0,252.0,242.0,244.0,4503.0
2025-04-09,250.0,250.0,254.0,246.0,254.0,1263.0
2025-04-10,252.0,252.0,254.0,252.0,254.0,931.0
2025-04-11,250.0,250.0,252.0,250.0,252.0,788.0
2025-04-14,250.0,250.0,254.0,248.0,254.0,190.0
2025-04-15,254.0,254.0,254.0,250.0,250.0,282.0
2025-04-16,250.0,250.0,254.0,250.0,254.0,70.0
2025-04-17,252.0,252.0,254.0,252.0,254.0,577.0
2025-04-22,252.0,252.0,252.0,252.0,252.0,0.0
2025-04-23,256.0,256.0,256.0,254.0,254.0,108.0
2025-04-24,258.0,258.0,258.0,256.0,256.0,3067.0
2025-04-25,258.0,258.0,258.0,256.0,256.0,400.0
2025-04-28,248.0,248.0,260.0,248.0,258.0,5608.0
2025-04-29,250.0,250.0,252.0,248.0,252.0,3012.0
2025-04-30,250.0,250.0,250.0,248.0,250.0,12541.0
2025-05-02,250.0,250.0,252.0,244.0,252.0,2166.0
2025-05-05,250.0,250.0,250.0,248.0,250.0,181.0
2025-05-06,250.0,250.0,250.0,246.0,250.0,696.0
2025-05-07,250.0,250.0,250.0,248.0,250.0,600.0
2025-05-09,244.0,244.0,250.0,238.0,250.0,19030.0
2025-05-12,248.0,248.0,248.0,244.0,244.0,1075.0
2025-05-13,250.0,250.0,250.0,248.0,248.0,593.0
2025-05-14,242.0,242.0,250.0,238.0,250.0,20281.0
2025-05-15,240.0,240.0,244.0,236.0,244.0,8821.0
2025-05-16,240.0,240.0,242.0,238.0,242.0,8979.0
2025-05-19,226.0,226.0,242.0,224.0,240.0,28128.0
2025-05-20,232.0,232.0,234.0,226.0,230.0,5119.0
2025-05-21,226.0,226.0,234.0,226.0,234.0,22119.0
2025-05-22,230.0,230.0,230.0,226.0,226.0,1275.0
2025-05-23,220.0,220.0,230.0,218.0,230.0,18789.0
2025-05-26,222.0,222.0,224.0,218.0,224.0,5715.0
2025-05-27,224.0,224.0,232.0,222.0,224.0,13360.0
2025-05-28,218.0,218.0,230.0,218.0,226.0,17878.0
2025-05-29,224.0,224.0,228.0,220.0,224.0,13727.0
2025-05-30,224.0,224.0,226.0,222.0,224.0,2575.0
2025-06-02,226.0,226.0,226.0,220.0,224.0,2032.0
2025-06-03,226.0,226.0,226.0,224.0,226.0,1969.0
2025-06-04,226.0,226.0,226.0,220.0,226.0,1513.0
2025-06-05,228.0,228.0,228.0,226.0,226.0,2700.0
2025-06-06,230.0,230.0,230.0,226.0,228.0,1780.0
2025-06-09,230.0,230.0,230.0,224.0,230.0,1306.0
2025-06-10,226.0,226.0,230.0,222.0,230.0,1281.0
2025-06-11,228.0,228.0,230.0,226.0,226.0,2391.0
2025-06-12,232.0,232.0,232.0,224.0,228.0,4612.0
2025-06-13,234.0,234.0,234.0,230.0,230.0,889.0
2025-06-16,226.0,226.0,236.0,224.0,236.0,4766.0
2025-06-17,216.0,216.0,226.0,216.0,226.0,40566.0
2025-06-18,220.0,220.0,220.0,216.0,216.0,2633.0
2025-06-19,216.0,216.0,220.0,214.0,220.0,10758.0
2025-06-20,218.0,218.0,220.0,216.0,218.0,2555.0
2025-06-23,214.0,214.0,220.0,214.0,218.0,6052.0
2025-06-24,220.0,220.0,220.0,218.0,218.0,455.0
2025-06-25,214.0,214.0,220.0,212.0,220.0,7351.0
2025-06-26,220.0,220.0,220.0,218.0,218.0,815.0
2025-06-27,216.0,216.0,220.0,212.0,220.0,19574.0
2025-06-30,216.0,216.0,218.0,212.0,218.0,11628.0
2025-07-01,212.0,212.0,216.0,212.0,216.0,1416.0
2025-07-02,208.0,208.0,212.0,200.0,212.0,22133.0
2025-07-03,210.0,210.0,212.0,208.0,208.0,1913.0
2025-07-04,214.0,214.0,214.0,208.0,210.0,3023.0
2025-07-07,214.0,214.0,216.0,214.0,216.0,941.0
2025-07-08,220.0,220.0,222.0,216.0,216.0,4667.0
2025-07-09,222.0,222.0,222.0,220.0,222.0,1831.0
2025-07-10,220.0,220.0,224.0,218.0,224.0,4264.0
2025-07-11,220.0,220.0,222.0,220.0,220.0,685.0
