Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,102.0,102.0,106.0,96.0,97.0,110200.0
2025-01-03,92.0,92.0,102.0,92.0,102.0,61800.0
2025-01-06,84.0,84.0,95.0,84.0,95.0,106700.0
2025-01-07,85.0,85.0,85.0,84.0,85.0,64800.0
2025-01-08,93.0,93.0,93.0,84.0,84.0,72900.0
2025-01-09,91.0,91.0,102.0,85.0,94.0,130300.0
2025-01-10,88.0,88.0,91.0,85.0,85.0,12000.0
2025-01-13,92.0,92.0,93.0,85.0,85.0,10600.0
2025-01-14,86.0,86.0,90.0,86.0,90.0,3400.0
2025-01-15,94.0,94.0,94.0,82.0,88.0,87100.0
2025-01-16,89.0,89.0,98.0,85.0,95.0,36800.0
2025-01-17,88.0,88.0,88.0,85.0,87.0,6400.0
2025-01-20,82.0,82.0,96.0,82.0,88.0,51600.0
2025-01-21,90.0,90.0,90.0,82.0,82.0,8300.0
2025-01-22,92.0,92.0,99.0,88.0,90.0,119900.0
2025-01-23,94.0,94.0,100.0,88.0,100.0,29100.0
2025-01-24,102.0,102.0,103.0,89.0,89.0,107000.0
2025-01-30,112.0,112.0,112.0,102.0,102.0,105400.0
2025-01-31,123.0,123.0,123.0,120.0,120.0,57500.0
2025-02-03,135.0,135.0,135.0,128.0,130.0,124200.0
2025-02-04,148.0,148.0,148.0,147.0,148.0,440200.0
2025-02-05,134.0,134.0,155.0,134.0,150.0,96700.0
2025-02-06,121.0,121.0,134.0,121.0,134.0,131500.0
2025-02-07,109.0,109.0,121.0,109.0,121.0,18700.0
2025-02-10,119.0,119.0,119.0,99.0,99.0,294700.0
2025-02-11,130.0,130.0,130.0,121.0,123.0,58900.0
2025-02-12,143.0,143.0,143.0,117.0,135.0,155500.0
2025-02-13,129.0,129.0,143.0,129.0,143.0,90000.0
2025-02-14,140.0,140.0,140.0,118.0,127.0,304500.0
2025-02-17,148.0,148.0,153.0,127.0,140.0,280400.0
2025-02-18,139.0,139.0,149.0,134.0,149.0,45000.0
2025-02-19,137.0,137.0,139.0,128.0,139.0,3100.0
2025-02-20,135.0,135.0,150.0,124.0,139.0,305100.0
2025-02-21,125.0,125.0,146.0,123.0,134.0,244800.0
2025-02-24,127.0,127.0,135.0,115.0,130.0,184500.0
2025-02-25,133.0,133.0,133.0,115.0,127.0,148400.0
2025-02-26,130.0,130.0,145.0,121.0,137.0,177400.0
2025-02-27,122.0,122.0,143.0,122.0,130.0,43400.0
2025-02-28,134.0,134.0,134.0,130.0,130.0,28000.0
2025-03-03,140.0,140.0,147.0,126.0,134.0,16200.0
2025-03-04,148.0,148.0,154.0,130.0,148.0,184000.0
2025-03-05,147.0,147.0,148.0,137.0,148.0,13100.0
2025-03-06,147.0,147.0,147.0,147.0,147.0,6800.0
2025-03-07,143.0,143.0,150.0,133.0,150.0,36500.0
2025-03-10,130.0,130.0,141.0,129.0,141.0,82000.0
2025-03-11,122.0,122.0,130.0,118.0,130.0,73500.0
2025-03-12,132.0,132.0,132.0,112.0,125.0,112000.0
2025-03-13,142.0,142.0,142.0,126.0,126.0,20700.0
2025-03-14,140.0,140.0,150.0,128.0,140.0,171200.0
2025-03-17,140.0,140.0,140.0,130.0,130.0,1000.0
2025-03-18,137.0,137.0,139.0,126.0,139.0,8800.0
2025-03-19,136.0,136.0,136.0,128.0,128.0,16100.0
2025-03-20,134.0,134.0,135.0,125.0,125.0,1800.0
2025-03-21,135.0,135.0,135.0,134.0,134.0,4600.0
2025-03-24,139.0,139.0,144.0,124.0,128.0,22300.0
2025-03-25,144.0,144.0,145.0,139.0,139.0,250000.0
2025-03-26,142.0,142.0,142.0,135.0,138.0,700.0
2025-03-27,150.0,150.0,150.0,141.0,141.0,2300.0
2025-04-08,164.0,164.0,164.0,150.0,150.0,126400.0
2025-04-09,164.0,164.0,164.0,164.0,164.0,19600.0
2025-04-10,149.0,149.0,164.0,148.0,163.0,2200.0
2025-04-11,159.0,159.0,159.0,148.0,149.0,1000.0
2025-04-14,145.0,145.0,159.0,144.0,155.0,32100.0
2025-04-15,131.0,131.0,145.0,131.0,145.0,231500.0
