Date,Adj Close,Close,High,Low,Open,Volume
2025-09-30,6475.0,6475.0,6480.0,6150.0,6190.0,0.0
2025-10-02,6490.0,6490.0,6655.0,6475.0,6655.0,15274.0
2025-10-03,6420.0,6420.0,6550.0,6400.0,6545.0,23053.0
2025-10-06,6470.0,6470.0,6500.0,6420.0,6450.0,8692.0
2025-10-07,6665.0,6665.0,6675.0,6490.0,6520.0,11778.0
2025-10-08,6680.0,6680.0,6740.0,6625.0,6735.0,11244.0
2025-10-09,6140.0,6140.0,6735.0,6125.0,6735.0,7253.0
2025-10-13,6010.0,6010.0,6040.0,5770.0,6040.0,1995.0
2025-10-14,6225.0,6225.0,6285.0,5925.0,5990.0,4374.0
2025-10-15,6040.0,6040.0,6295.0,5980.0,6135.0,9671.0
2025-10-16,6165.0,6165.0,6180.0,6000.0,6000.0,1243.0
2025-10-17,6345.0,6345.0,6405.0,6090.0,6195.0,1176.0
2025-10-20,6605.0,6605.0,6615.0,6425.0,6465.0,8795.0
2025-10-21,6900.0,6900.0,6900.0,6630.0,6700.0,3370.0
2025-10-22,6800.0,6800.0,6925.0,6730.0,6860.0,4379.0
2025-10-23,6705.0,6705.0,6850.0,6665.0,6755.0,8728.0
2025-10-24,6815.0,6815.0,6820.0,6685.0,6690.0,9357.0
2025-10-27,6200.0,6200.0,7875.0,5255.0,6815.0,736.0
2025-10-28,6480.0,6480.0,6585.0,6450.0,6535.0,11202.0
2025-10-29,6480.0,6480.0,6510.0,6405.0,6420.0,3086.0
2025-10-30,6440.0,6440.0,6515.0,6420.0,6445.0,1344.0
2025-10-31,6475.0,6475.0,6525.0,6405.0,6445.0,1946.0
2025-11-03,6570.0,6570.0,6570.0,6405.0,6505.0,2705.0
2025-11-04,6425.0,6425.0,6520.0,6380.0,6520.0,654.0
2025-11-05,6295.0,6295.0,6345.0,6260.0,6285.0,12591.0
2025-11-06,6220.0,6220.0,6285.0,6220.0,6255.0,426.0
2025-11-07,6140.0,6140.0,6200.0,6100.0,6185.0,1825.0
2025-11-10,6265.0,6265.0,6275.0,6145.0,6165.0,1999.0
2025-11-11,6250.0,6250.0,6285.0,6185.0,6275.0,1477.0
2025-11-12,6175.0,6175.0,6270.0,6140.0,6270.0,1981.0
2025-11-13,6110.0,6110.0,6195.0,6075.0,6195.0,1439.0
2025-11-14,6120.0,6120.0,6170.0,5985.0,6050.0,1850.0
2025-11-17,6045.0,6045.0,6145.0,6030.0,6125.0,667.0
2025-11-18,6010.0,6010.0,6095.0,5950.0,6095.0,739.0
2025-11-19,6000.0,6000.0,6015.0,5915.0,5930.0,319.0
2025-11-20,5990.0,5990.0,6135.0,5920.0,6095.0,4814.0
2025-11-21,5985.0,5985.0,6005.0,5900.0,5985.0,507.0
2025-11-25,6170.0,6170.0,6195.0,5935.0,5935.0,1057.0
2025-11-26,6290.0,6290.0,6300.0,6195.0,6215.0,1280.0
2025-11-27,6155.0,6155.0,6295.0,6100.0,6290.0,106.0
2025-11-28,6210.0,6210.0,6285.0,6175.0,6185.0,6879.0
2025-12-01,6105.0,6105.0,6245.0,6080.0,6240.0,1709.0
2025-12-02,6110.0,6110.0,6235.0,6065.0,6235.0,10888.0
2025-12-03,6060.0,6060.0,6200.0,6050.0,6195.0,9493.0
2025-12-04,6225.0,6225.0,6225.0,6060.0,6065.0,2326.0
2025-12-05,6115.0,6115.0,6250.0,6040.0,6250.0,3000.0
2025-12-09,6120.0,6120.0,6195.0,6085.0,6185.0,694.0
2025-12-10,6160.0,6160.0,6160.0,6065.0,6110.0,1865.0
2025-12-11,6270.0,6270.0,6300.0,6105.0,6105.0,5448.0
2025-12-12,6340.0,6340.0,6395.0,6270.0,6270.0,4230.0
2025-12-15,6405.0,6405.0,6430.0,6325.0,6325.0,1242.0
2025-12-16,6435.0,6435.0,6465.0,6375.0,6455.0,2489.0
2025-12-17,6405.0,6405.0,6435.0,6350.0,6430.0,629.0
2025-12-19,6610.0,6610.0,6635.0,6405.0,6485.0,1728.0
2025-12-22,6755.0,6755.0,6800.0,6625.0,6675.0,3193.0
2025-12-23,6690.0,6690.0,6860.0,6685.0,6860.0,5451.0
2025-12-24,6695.0,6695.0,6780.0,6690.0,6750.0,269.0
2025-12-26,6880.0,6880.0,7020.0,6690.0,6690.0,1408.0
2025-12-29,6615.0,6615.0,6715.0,6615.0,6685.0,1425.0
2025-12-30,6600.0,6600.0,6695.0,6600.0,6630.0,728.0
2026-01-02,6790.0,6790.0,6795.0,6580.0,6650.0,1301.0
2026-01-05,6945.0,6945.0,7000.0,6775.0,6775.0,4904.0
2026-01-06,7080.0,7080.0,7080.0,6955.0,7005.0,4900.0
2026-01-07,7015.0,7015.0,7140.0,7015.0,7115.0,6957.0
2026-01-08,6950.0,6950.0,7250.0,6885.0,7110.0,5714.0
2026-01-09,7145.0,7145.0,7160.0,7005.0,7050.0,5249.0
2026-01-12,7230.0,7230.0,7230.0,7160.0,7210.0,10033.0
2026-01-13,7300.0,7300.0,7370.0,7265.0,7290.0,5873.0
2026-01-14,7275.0,7275.0,7295.0,7190.0,7295.0,6647.0
2026-01-15,7315.0,7315.0,7345.0,7260.0,7345.0,10685.0
2026-01-16,7430.0,7430.0,7435.0,7305.0,7385.0,9483.0
2026-01-19,7940.0,7940.0,7950.0,7505.0,7800.0,2100.0
2026-01-20,7275.0,7275.0,7400.0,7245.0,7400.0,11920.0
2026-01-21,7285.0,7285.0,7315.0,7150.0,7275.0,5817.0
