Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,9031.0,9031.0,9031.0,9031.0,9031.0,0.0
2025-01-03,9031.0,9031.0,9031.0,9031.0,9031.0,0.0
2025-01-06,9031.0,9031.0,9031.0,9031.0,9031.0,0.0
2025-01-07,9684.0,9684.0,9804.0,9046.0,9804.0,19.0
2025-01-08,9200.0,9200.0,9800.0,9200.0,9200.0,513.0
2025-01-09,9200.0,9200.0,9200.0,9200.0,9200.0,0.0
2025-01-10,9200.0,9200.0,9200.0,9200.0,9200.0,0.0
2025-01-13,9200.0,9200.0,9200.0,9200.0,9200.0,0.0
2025-01-14,9456.0,9456.0,9961.0,9456.0,9961.0,182.0
2025-01-15,9061.0,9061.0,9061.0,9061.0,9061.0,200.0
2025-01-16,9061.0,9061.0,9061.0,9061.0,9061.0,0.0
2025-01-17,9061.0,9061.0,9061.0,9061.0,9061.0,0.0
2025-01-20,9061.0,9061.0,9061.0,9061.0,9061.0,0.0
2025-01-21,9150.0,9150.0,9223.0,9150.0,9150.0,25.0
2025-01-22,9150.0,9150.0,9150.0,9150.0,9150.0,0.0
2025-01-23,9067.0,9067.0,9687.0,9067.0,9600.0,2027.0
2025-01-24,9067.0,9067.0,9067.0,9067.0,9067.0,10.0
2025-01-27,9222.0,9222.0,9551.0,9071.0,9551.0,910.0
2025-01-28,9200.0,9200.0,9200.0,9071.0,9071.0,250.0
2025-01-29,9200.0,9200.0,9200.0,9200.0,9200.0,0.0
2025-01-30,9104.0,9104.0,9202.0,9071.0,9101.0,5161.0
2025-01-31,9200.0,9200.0,9400.0,9104.0,9104.0,200284.0
2025-02-03,9104.0,9104.0,9104.0,9104.0,9104.0,519.0
2025-02-04,9104.0,9104.0,9300.0,9104.0,9216.0,1289.0
2025-02-05,9101.0,9101.0,9300.0,9071.0,9071.0,1260.0
2025-02-06,9400.0,9400.0,9400.0,9301.0,9301.0,526.0
2025-02-07,9220.0,9220.0,9220.0,9220.0,9220.0,10.0
2025-02-10,9072.0,9072.0,9300.0,9072.0,9200.0,5870.0
2025-02-11,9072.0,9072.0,9500.0,9072.0,9500.0,17.0
2025-02-12,9072.0,9072.0,9072.0,9072.0,9072.0,0.0
2025-02-13,9070.0,9070.0,9080.0,8899.0,9080.0,23928.0
2025-02-14,8800.0,8800.0,9100.0,8800.0,9100.0,2458.0
2025-02-17,8800.0,8800.0,8800.0,8800.0,8800.0,0.0
2025-02-18,8811.0,8811.0,9100.0,8811.0,9000.0,4051.0
2025-02-19,8800.0,8800.0,8811.0,8800.0,8811.0,375.0
2025-02-20,8822.0,8822.0,9020.0,8800.0,8800.0,4182.0
2025-02-21,8802.0,8802.0,8802.0,8802.0,8802.0,192.0
2025-02-24,8811.0,8811.0,8811.0,8806.0,8806.0,1005.0
2025-02-25,9019.0,9019.0,9040.0,8815.0,8815.0,1123.0
2025-02-26,8812.0,8812.0,9060.0,8812.0,9019.0,3078.0
2025-02-27,8812.0,8812.0,8812.0,8812.0,8812.0,0.0
2025-02-28,8812.0,8812.0,8812.0,8812.0,8812.0,0.0
2025-03-03,9000.0,9000.0,9000.0,8814.0,8999.0,5413.0
2025-03-04,8850.0,8850.0,8925.0,8811.0,8925.0,2220.0
2025-03-05,8810.0,8810.0,8810.0,8810.0,8810.0,10.0
2025-03-06,9000.0,9000.0,9000.0,8800.0,8811.0,5159.0
2025-03-07,9000.0,9000.0,9000.0,9000.0,9000.0,0.0
2025-03-10,8570.0,8570.0,8810.0,8570.0,8810.0,6006.0
2025-03-11,8555.0,8555.0,8799.0,8555.0,8559.0,1520.0
2025-03-12,8555.0,8555.0,8555.0,8555.0,8555.0,0.0
2025-03-13,8000.0,8000.0,8559.0,8000.0,8559.0,6091.0
2025-03-14,8101.0,8101.0,8101.0,8101.0,8101.0,10.0
2025-03-17,8409.0,8409.0,8409.0,8409.0,8409.0,5.0
2025-03-18,8001.0,8001.0,8001.0,8001.0,8001.0,100.0
2025-03-19,8001.0,8001.0,8001.0,8001.0,8001.0,0.0
2025-03-20,8100.0,8100.0,8300.0,8002.0,8002.0,2758.0
2025-03-24,8399.0,8399.0,8499.0,8399.0,8499.0,2274.0
2025-03-25,8940.0,8940.0,8940.0,8400.0,8560.0,3085.0
2025-03-26,8940.0,8940.0,8940.0,8940.0,8940.0,0.0
2025-03-27,8903.0,8903.0,8933.0,8903.0,8933.0,969.0
2025-03-28,9000.0,9000.0,9000.0,8700.0,8700.0,12043.0
