Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,6808.5,6808.5,6861.0,6668.0,6730.0,413.0
2025-01-03,6838.5,6838.5,6887.0,6784.0,6784.0,3133.0
2025-01-06,6797.5,6797.5,6797.5,6797.5,6797.5,0.0
2025-01-07,6858.0,6858.0,6837.0,6781.0,6781.0,500.0
2025-01-08,6870.5,6870.5,6870.5,6870.5,6870.5,0.0
2025-01-09,6898.5,6898.5,6940.0,6920.0,6939.0,220.0
2025-01-10,7108.5,7108.5,7192.0,7000.0,7000.0,86.0
2025-01-13,7042.0,7042.0,7042.0,7042.0,7042.0,0.0
2025-01-14,7060.0,7060.0,7082.0,7082.0,7082.0,1.0
2025-01-15,7162.5,7162.5,7180.0,7085.0,7085.0,220.0
2025-01-16,7078.5,7078.5,7260.0,7260.0,7260.0,0.0
2025-01-17,7156.0,7156.0,7196.0,7039.0,7077.0,1046.0
2025-01-20,7002.0,7002.0,7169.0,7169.0,7169.0,3.0
2025-01-21,7168.5,7168.5,7168.5,7168.5,7168.5,0.0
2025-01-22,7381.5,7381.5,7374.0,7182.0,7345.0,298.0
2025-01-23,7428.0,7428.0,7438.0,7303.0,7303.0,366.0
2025-01-24,7276.0,7276.0,7494.0,7297.0,7381.0,91.0
2025-01-27,7069.5,7069.5,7069.5,7069.5,7069.5,0.0
2025-01-28,7034.0,7034.0,7177.0,6979.0,7116.0,225.0
2025-01-29,7123.0,7123.0,7150.0,7090.0,7090.0,70.0
2025-01-30,7287.0,7287.0,7315.0,7200.0,7210.0,325.0
2025-01-31,7470.0,7470.0,7493.0,7281.0,7360.0,220.0
2025-02-03,7486.5,7486.5,7643.0,7465.0,7465.0,459.0
2025-02-04,7317.5,7317.5,7460.0,7433.0,7433.0,24.0
2025-02-05,7301.5,7301.5,7371.0,7292.0,7321.0,67.0
2025-02-06,7259.0,7259.0,7318.0,7199.0,7271.0,442.0
2025-02-07,7249.5,7249.5,7262.0,7130.0,7232.0,165.0
2025-02-10,7316.5,7316.5,7365.0,7230.0,7233.0,620.0
2025-02-11,7256.5,7256.5,7277.0,7216.0,7227.0,163.0
2025-02-12,7160.0,7160.0,7320.0,7142.0,7215.0,251.0
2025-02-13,7289.0,7289.0,7324.0,7218.0,7277.0,500.0
2025-02-14,7164.5,7164.5,7333.0,7135.0,7333.0,86.0
2025-02-17,7116.0,7116.0,7119.0,7119.0,7119.0,10.0
2025-02-18,7194.5,7194.5,7166.0,7135.0,7148.0,130.0
2025-02-19,7044.0,7044.0,7230.0,7042.0,7144.0,1602.0
2025-02-20,7191.0,7191.0,7213.0,7142.0,7143.0,892.0
2025-02-21,7047.5,7047.5,7079.0,7065.0,7065.0,30.0
2025-02-24,6864.5,6864.5,6982.0,6891.0,6982.0,1294.0
2025-02-25,6768.5,6768.5,6927.0,6711.0,6923.0,67.0
2025-02-26,6769.0,6769.0,6823.0,6709.0,6802.0,401.0
2025-02-27,6670.5,6670.5,6750.0,6642.0,6713.0,382.0
2025-02-28,6718.0,6718.0,6727.0,6608.0,6679.0,638.0
2025-03-03,6840.0,6840.0,6850.0,6749.0,6790.0,527.0
2025-03-04,6809.0,6809.0,6834.0,6736.0,6763.0,1107.0
2025-03-05,6714.0,6714.0,6928.0,6704.0,6748.0,298.0
2025-03-06,6738.0,6738.0,6783.0,6659.0,6666.0,80.0
2025-03-07,6750.5,6750.5,6792.0,6696.0,6732.0,430.0
2025-03-10,6730.5,6730.5,6815.0,6710.0,6798.0,555.0
2025-03-11,6743.5,6743.5,6792.0,6648.0,6686.0,699.0
2025-03-12,6735.0,6735.0,6849.0,6718.0,6718.0,10.0
2025-03-13,6819.5,6819.5,6833.0,6751.0,6810.0,151.0
2025-03-14,6805.5,6805.5,6952.0,6838.0,6882.0,700.0
2025-03-17,6855.0,6855.0,6951.0,6778.0,6897.0,50.0
2025-03-18,6847.5,6847.5,6927.0,6809.0,6906.0,370.0
2025-03-19,6785.5,6785.5,6857.0,6778.0,6804.0,44.0
2025-03-20,6700.5,6700.5,6775.0,6697.0,6733.0,905.0
2025-03-21,6807.5,6807.5,6805.0,6638.0,6638.0,51.0
2025-03-24,6786.5,6786.5,6886.0,6768.0,6863.0,20.0
2025-03-25,6811.0,6811.0,6870.0,6793.0,6795.0,230.0
2025-03-26,6930.5,6930.5,6929.0,6779.0,6779.0,1504.0
2025-03-27,6939.5,6939.5,6971.0,6819.0,6892.0,662.0
2025-03-28,6900.0,6900.0,7018.0,6824.0,6946.0,1285.0
2025-03-31,7005.5,7005.5,7007.0,6921.0,6962.0,197.0
2025-04-01,7020.5,7020.5,7102.0,7002.0,7053.0,775.0
2025-04-02,6860.5,6860.5,7019.0,6893.0,7019.0,70.0
2025-04-03,6550.0,6550.0,6788.0,6531.0,6725.0,1201.0
2025-04-04,6537.0,6537.0,6563.0,6433.0,6500.0,404.0
2025-04-07,6461.5,6461.5,6585.0,6421.0,6564.0,21.0
2025-04-08,6529.0,6529.0,6677.0,6618.0,6677.0,0.0
2025-04-09,6523.0,6523.0,6602.0,6586.0,6599.0,0.0
2025-04-10,6488.0,6488.0,6700.0,6483.0,6605.0,40.0
2025-04-11,6411.0,6411.0,6545.0,6463.0,6463.0,1.0
2025-04-14,6670.5,6670.5,6538.0,6521.0,6534.0,30.0
2025-04-15,6720.0,6720.0,6723.0,6598.0,6598.0,561.0
2025-04-16,6744.0,6744.0,6772.0,6749.0,6749.0,0.0
2025-04-17,6620.5,6620.5,6675.0,6566.0,6580.0,295.0
2025-04-22,6428.0,6428.0,6556.0,6397.0,6482.0,368.0
2025-04-23,6504.5,6504.5,6543.0,6429.0,6450.0,482.0
2025-04-24,6558.5,6558.5,6564.0,6474.0,6474.0,486.0
2025-04-25,6481.0,6481.0,6508.0,6438.0,6466.0,50.0
2025-04-28,6526.0,6526.0,6621.0,6507.0,6507.0,185.0
2025-04-29,6415.5,6415.5,6513.0,6417.0,6417.0,10.0
2025-04-30,6469.0,6469.0,6424.0,6334.0,6424.0,0.0
2025-05-01,6559.5,6559.5,6553.0,6449.0,6473.0,641.0
2025-05-02,6535.0,6535.0,6535.0,6535.0,6535.0,0.0
2025-05-06,6654.0,6654.0,6632.0,6532.0,6545.0,576.0
2025-05-07,6705.0,6705.0,6706.0,6670.0,6706.0,20.0
2025-05-08,6767.5,6767.5,6659.0,6622.0,6622.0,7.0
2025-05-09,6737.5,6737.5,6782.0,6711.0,6782.0,214.0
2025-05-12,6609.0,6609.0,6817.0,6642.0,6721.0,357.0
2025-05-13,6572.0,6572.0,6653.0,6520.0,6591.0,121.0
2025-05-14,6571.5,6571.5,6593.0,6548.0,6593.0,0.0
2025-05-15,6684.5,6684.5,6736.0,6498.0,6498.0,132.0
2025-05-16,6623.0,6623.0,6668.0,6598.0,6638.0,80.0
2025-05-19,6659.0,6659.0,6741.0,6560.0,6604.0,111.0
2025-05-20,6890.5,6890.5,6907.0,6820.0,6839.0,927.0
2025-05-21,7114.5,7114.5,6955.0,6750.0,6831.0,16.0
2025-05-22,6919.0,6919.0,7036.0,6892.0,7025.0,500.0
2025-05-23,6758.0,6758.0,6932.0,6723.0,6903.0,1518.0
2025-05-27,6683.5,6683.5,6683.0,6588.0,6632.0,98.0
2025-05-28,6579.5,6579.5,6747.0,6559.0,6639.0,953.0
2025-05-29,6638.5,6638.5,6671.0,6596.0,6622.0,562.0
2025-05-30,6575.0,6575.0,6638.0,6538.0,6592.0,51.0
2025-06-02,6710.0,6710.0,6732.0,6587.0,6671.0,1177.0
2025-06-03,6836.0,6836.0,6867.0,6691.0,6714.0,682.0
2025-06-04,6720.0,6720.0,6828.0,6723.0,6810.0,761.0
2025-06-05,6774.5,6774.5,6934.0,6780.0,6897.0,2764.0
2025-06-06,7057.5,7057.5,7082.0,6851.0,6929.0,800.0
2025-06-09,7332.0,7332.0,7320.0,7182.0,7292.52099609375,30.0
2025-06-10,7169.5,7169.5,7328.0,7145.0,7180.0,10.0
2025-06-11,7288.5,7288.5,7479.0,7225.0,7285.0,74.0
2025-06-12,7115.5,7115.5,7262.0,7054.0,7192.0,343.0
2025-06-13,7013.5,7013.5,7221.0,7034.0,7113.0,36.0
2025-06-16,6966.5,6966.5,7125.0,6979.0,7054.0,64.0
2025-06-17,7113.0,7113.0,7112.0,6952.0,6968.0,77.0
2025-06-18,7146.5,7146.5,7256.0,7158.0,7176.0,154.0
2025-06-19,7087.0,7087.0,7169.0,7046.0,7069.0,230.0
2025-06-20,7109.0,7109.0,7189.0,7063.0,7063.0,20.0
2025-06-23,7303.0,7303.0,7385.0,7201.0,7275.0,144.0
2025-06-24,7138.5,7138.5,7210.0,7166.0,7173.0,725.0
2025-06-25,7105.5,7105.5,7234.0,7045.0,7171.0,35.0
2025-06-26,7422.0,7422.0,7353.0,7276.0,7353.0,13.0
2025-06-27,7573.5,7573.5,7695.0,7455.0,7618.0,1332.0
2025-06-30,7403.5,7403.5,7423.0,7423.0,7423.0,1.0
2025-07-01,7332.0,7332.0,7436.0,7390.0,7436.0,26.0
2025-07-02,7790.0,7790.0,7664.0,7351.0,7411.0,608.0
2025-07-03,7631.5,7631.5,7656.0,7546.0,7633.0,1.0
2025-07-04,7579.0,7579.0,7626.0,7603.0,7603.0,3.0
2025-07-07,7413.0,7413.0,7577.0,7430.0,7545.0,36.0
2025-07-08,7439.5,7439.5,7602.0,7441.0,7571.0,13.0
2025-07-09,7433.0,7433.0,7501.0,7266.0,7500.0,1105.0
2025-07-10,7729.0,7729.0,7749.0,7490.0,7507.0,1725.0
2025-07-11,8179.5,8179.5,8298.0,7755.0,7832.0,191.0
2025-07-14,8162.5,8162.5,8470.0,8116.0,8316.0,71.0
2025-07-15,8194.0,8194.0,8201.0,8071.0,8155.0,500.0
2025-07-16,8423.0,8423.0,8397.0,8104.0,8330.0,20.0
2025-07-17,8634.0,8634.0,8639.0,8324.0,8411.0,350.0
2025-07-18,8680.0,8680.0,9113.0,8767.853515625,8922.0,536.0
2025-07-21,8563.5,8563.5,8639.0,8461.0,8639.0,27.0
2025-07-22,8652.5,8652.5,8658.0,8512.0,8652.0,33.0
2025-07-23,8674.5,8674.5,8740.0,8550.0,8550.0,301.0
2025-07-24,8464.0,8464.0,8628.0,8549.0,8591.0,20.0
2025-07-25,8267.0,8267.0,8428.0,8169.0,8428.0,259.0
2025-07-28,8519.5,8519.5,8625.0,8382.0,8414.0,2.0
2025-07-29,8502.5,8502.5,8649.0,8307.0,8643.0,51.0
2025-07-30,8470.5,8470.5,8740.0,8461.0,8461.0,34.0
2025-07-31,8286.0,8286.0,8562.0,8287.0,8476.0,427.0
2025-08-01,8323.5,8323.5,8384.0,8059.0,8384.0,3.0
2025-08-04,8189.5,8189.5,8446.0,7992.0,8446.0,3.0
2025-08-05,8213.0,8213.0,8316.0,8260.0,8316.0,1.0
2025-08-06,7839.0,7839.0,8124.0,7911.3701171875,8124.0,253.0
2025-08-07,7861.5,7861.5,7983.0,7766.0,7895.0,1062.0
2025-08-08,7753.0,7753.0,7882.0,7626.0,7862.0,162.0
2025-08-11,7854.0,7854.0,7849.0,7627.0,7627.0,58.0
2025-08-12,7665.0,7665.0,7843.0,7629.0,7771.0,1098.0
2025-08-13,7605.5,7605.5,7605.5,7605.5,7605.5,0.0
2025-08-14,7747.0,7747.0,7695.0,7695.0,7695.0,0.0
2025-08-15,7557.0,7557.0,7743.0,7502.0,7529.0,350.0
