Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,13250.0,13250.0,13250.0,12900.0,12900.0,1005.0
2025-01-03,14075.0,14075.0,14100.0,13250.0,13350.0,2182.0
2025-01-06,14650.0,14650.0,14700.0,14150.0,14475.0,391.0
2025-01-07,14900.0,14900.0,15025.0,14600.0,14950.0,2094.0
2025-01-08,14450.0,14450.0,14875.0,14450.0,14875.0,1533.0
2025-01-09,14250.0,14250.0,14250.0,14250.0,14250.0,7.0
2025-01-10,15225.0,15225.0,15825.0,14250.0,14250.0,3769.0
2025-01-13,14375.0,14375.0,14900.0,14375.0,14700.0,201.0
2025-01-14,13675.0,13675.0,14175.0,13450.0,14175.0,568.0
2025-01-15,14500.0,14500.0,14650.0,13925.0,13925.0,545.0
2025-01-16,13650.0,13650.0,13675.0,13425.0,13575.0,32745.0
2025-01-17,13000.0,13000.0,13700.0,12850.0,13700.0,9670.0
2025-01-20,13000.0,13000.0,13000.0,13000.0,13000.0,10.0
2025-01-21,12625.0,12625.0,13100.0,12600.0,13050.0,373.0
2025-01-22,12600.0,12600.0,12800.0,12575.0,12625.0,3157.0
2025-01-23,12450.0,12450.0,12700.0,12325.0,12350.0,3351.0
2025-01-24,12625.0,12625.0,12625.0,12325.0,12425.0,857.0
2025-01-27,12500.0,12500.0,12950.0,12325.0,12350.0,1219.0
2025-01-28,12975.0,12975.0,13025.0,12750.0,12925.0,766.0
2025-01-29,13800.0,13800.0,13850.0,13075.0,13075.0,3862.0
2025-01-30,13350.0,13350.0,13650.0,13100.0,13650.0,1329.0
2025-01-31,13525.0,13525.0,13850.0,13400.0,13400.0,620.0
2025-02-03,13275.0,13275.0,13350.0,13125.0,13350.0,158.0
2025-02-04,14000.0,14000.0,14050.0,13325.0,13325.0,5600.0
2025-02-05,12900.0,12900.0,14075.0,12850.0,14075.0,8413.0
2025-02-06,12600.0,12600.0,12950.0,12600.0,12950.0,1649.0
2025-02-07,13075.0,13075.0,13225.0,12700.0,12875.0,1083.0
2025-02-10,12800.0,12800.0,13250.0,12800.0,13200.0,965.0
2025-02-11,12775.0,12775.0,12900.0,12375.0,12600.0,566.0
2025-02-12,12900.0,12900.0,13000.0,12700.0,12750.0,588.0
2025-02-13,13450.0,13450.0,13450.0,12925.0,12925.0,2610.0
2025-02-14,13000.0,13000.0,13350.0,12950.0,13350.0,654.0
2025-02-17,13350.0,13350.0,13375.0,13225.0,13225.0,108.0
2025-02-18,13200.0,13200.0,13300.0,13100.0,13175.0,286.0
2025-02-19,13250.0,13250.0,13275.0,13050.0,13200.0,99.0
2025-02-20,12975.0,12975.0,13025.0,12800.0,12800.0,333.0
2025-02-21,12575.0,12575.0,12950.0,12575.0,12950.0,4140.0
2025-02-24,12750.0,12750.0,12800.0,12325.0,12600.0,1172.0
2025-02-25,12525.0,12525.0,12600.0,12275.0,12525.0,524.0
2025-02-26,12425.0,12425.0,12825.0,12300.0,12825.0,254.0
2025-02-27,12400.0,12400.0,12525.0,12200.0,12475.0,268.0
2025-02-28,12425.0,12425.0,12475.0,12125.0,12400.0,326.0
2025-03-05,12125.0,12125.0,12125.0,11775.0,11900.0,642.0
2025-03-06,11825.0,11825.0,12225.0,11825.0,11825.0,733.0
2025-03-07,11900.0,11900.0,11975.0,11475.0,11925.0,237.0
2025-03-10,11175.0,11175.0,11900.0,11100.0,11900.0,231.0
2025-03-11,10850.0,10850.0,11100.0,10850.0,11050.0,178.0
2025-03-12,10925.0,10925.0,10975.0,10875.0,10975.0,140.0
2025-03-13,10350.0,10350.0,10650.0,10325.0,10650.0,1034.0
2025-03-14,10675.0,10675.0,10750.0,10525.0,10525.0,557.0
2025-03-17,11350.0,11350.0,11425.0,10800.0,10800.0,948.0
2025-03-18,11350.0,11350.0,11350.0,11125.0,11275.0,321.0
2025-03-19,11700.0,11700.0,11825.0,11500.0,11500.0,1184.0
2025-03-20,11900.0,11900.0,12225.0,11850.0,12075.0,466.0
2025-03-21,12075.0,12075.0,12125.0,11875.0,12100.0,371.0
2025-03-25,12450.0,12450.0,12550.0,12200.0,12325.0,2762.0
2025-03-26,12100.0,12100.0,12450.0,12100.0,12225.0,237.0
2025-03-27,11925.0,11925.0,12050.0,11900.0,12025.0,266.0
2025-03-28,11525.0,11525.0,11725.0,11525.0,11675.0,132.0
