Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,134.96896362304688,141.5,149.0,135.0,145.0,1309.0
2025-01-03,133.53819274902344,140.0,142.0,137.0,142.0,1052.0
2025-01-07,133.53819274902344,140.0,140.0,136.5,139.0,1721.0
2025-01-08,128.7689666748047,135.0,140.0,128.5,140.0,791.0
2025-01-09,130.19973754882812,136.5,139.5,130.0,137.5,1416.0
2025-01-10,133.06126403808594,139.5,139.5,133.5,138.0,496.0
2025-01-13,131.15357971191406,137.5,139.5,136.5,139.5,301.0
2025-01-14,131.15357971191406,137.5,137.5,134.0,137.5,122.0
2025-01-15,133.53819274902344,140.0,140.0,133.5,138.0,991.0
2025-01-16,132.107421875,138.5,140.0,136.5,140.0,218.0
2025-01-17,133.53819274902344,140.0,140.0,137.0,138.5,696.0
2025-01-20,133.53819274902344,140.0,140.0,133.5,140.0,968.0
2025-01-21,133.06126403808594,139.5,140.0,136.5,140.0,319.0
2025-01-22,132.5843505859375,139.0,139.5,137.5,138.0,33.0
2025-01-23,133.06126403808594,139.5,139.5,132.0,139.0,1977.0
2025-01-24,132.5843505859375,139.0,140.0,135.5,136.5,183.0
2025-01-27,128.7689666748047,135.0,137.5,133.0,137.5,761.0
2025-01-28,128.7689666748047,135.0,135.0,132.0,133.5,941.0
2025-01-29,123.99974822998047,130.0,135.0,128.5,135.0,1829.0
2025-01-30,127.81511688232422,134.0,134.5,130.0,130.0,89.0
2025-01-31,129.72280883789062,136.0,136.0,129.0,134.0,331.0
2025-02-03,127.33819580078125,133.5,135.5,132.5,134.0,334.0
2025-02-04,128.7689666748047,135.0,136.0,133.0,135.0,456.0
2025-02-05,127.81511688232422,134.0,135.5,132.5,135.0,159.0
2025-02-06,132.5843505859375,139.0,139.0,131.5,132.0,1405.0
2025-02-07,131.15357971191406,137.5,139.0,134.0,134.0,216.0
2025-02-10,128.7689666748047,135.0,137.5,135.0,137.0,480.0
2025-02-11,127.81511688232422,134.0,140.0,134.0,138.0,480.0
2025-02-12,129.72280883789062,136.0,137.5,133.0,137.5,551.0
2025-02-13,127.33819580078125,133.5,137.0,133.5,136.0,515.0
2025-02-14,129.24588012695312,135.5,137.0,133.5,136.0,488.0
2025-02-17,129.24588012695312,135.5,135.5,133.0,135.5,369.0
2025-02-18,126.86127471923828,133.0,135.0,133.0,135.0,873.0
2025-02-19,129.72280883789062,136.0,137.0,132.0,134.0,513.0
2025-02-20,129.72280883789062,136.0,138.0,133.5,136.5,229.0
2025-02-21,131.15357971191406,137.5,137.5,134.0,136.5,499.0
2025-02-24,130.67665100097656,137.0,137.5,135.5,137.5,184.0
2025-02-25,130.67665100097656,137.0,137.0,135.0,137.0,154.0
2025-02-26,129.24588012695312,135.5,138.0,135.5,137.0,88.0
2025-02-27,128.7689666748047,135.0,138.0,135.0,138.0,155.0
2025-02-28,130.67665100097656,137.0,137.5,135.5,135.5,553.0
2025-03-03,132.107421875,138.5,139.0,136.5,137.5,771.0
2025-03-04,130.67665100097656,137.0,139.0,134.5,138.5,295.0
2025-03-05,131.15357971191406,137.5,139.0,134.0,138.5,194.0
2025-03-06,142.12278747558594,149.0,163.5,134.0,135.5,3924.0
2025-03-07,143.07662963867188,150.0,154.0,143.5,149.0,506.0
2025-03-10,135.9228057861328,142.5,152.5,142.0,147.5,1050.0
2025-03-11,136.39971923828125,143.0,146.5,143.0,145.5,144.0
2025-03-12,138.30740356445312,145.0,148.0,143.5,145.5,202.0
2025-03-13,137.8304901123047,144.5,147.0,144.5,145.0,127.0
2025-03-14,139.26124572753906,146.0,147.5,143.5,143.5,211.0
2025-03-17,141.1689453125,148.0,148.0,143.5,146.5,590.0
2025-03-18,140.6920166015625,147.5,148.5,144.0,148.0,322.0
2025-03-19,141.64585876464844,148.5,150.0,146.0,150.0,339.0
2025-03-20,142.59971618652344,149.5,150.0,147.5,148.5,188.0
2025-03-21,141.64585876464844,148.5,150.0,147.0,150.0,170.0
2025-03-24,141.1689453125,148.0,150.0,146.0,148.5,182.0
2025-03-25,142.59971618652344,149.5,150.0,146.0,146.0,190.0
2025-03-26,142.12278747558594,149.0,149.5,147.0,149.5,42.0
2025-03-27,138.30740356445312,145.0,148.5,140.5,148.5,381.0
2025-03-28,134.49203491210938,141.0,147.5,131.5,145.0,1827.0
2025-03-31,124.4766616821289,130.5,140.5,117.0,140.5,1898.0
2025-04-01,124.9535903930664,131.0,133.5,125.5,126.0,813.0
2025-04-02,132.5843505859375,139.0,139.5,131.5,133.5,551.0
2025-04-03,128.2920379638672,134.5,139.0,133.0,139.0,619.0
2025-04-04,126.86127471923828,133.0,137.5,131.0,134.5,996.0
2025-04-07,127.33819580078125,133.5,139.0,129.5,131.0,1666.0
2025-04-08,131.6304931640625,138.0,141.0,123.5,135.0,496.0
