Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,222.0,222.0,228.0,220.0,222.0,4357400.0
2025-01-03,222.0,222.0,226.0,220.0,226.0,340700.0
2025-01-06,224.0,224.0,224.0,220.0,222.0,93100.0
2025-01-07,224.0,224.0,226.0,222.0,222.0,27800.0
2025-01-08,220.0,220.0,226.0,218.0,224.0,654600.0
2025-01-09,202.0,202.0,222.0,200.0,218.0,875500.0
2025-01-10,204.0,204.0,220.0,200.0,202.0,557600.0
2025-01-13,208.0,208.0,220.0,206.0,210.0,349400.0
2025-01-14,204.0,204.0,210.0,202.0,208.0,231700.0
2025-01-15,200.0,200.0,212.0,200.0,204.0,294200.0
2025-01-16,204.0,204.0,206.0,199.0,200.0,357000.0
2025-01-17,199.0,199.0,204.0,198.0,204.0,303800.0
2025-01-20,210.0,210.0,212.0,199.0,199.0,409300.0
2025-01-21,202.0,202.0,214.0,202.0,214.0,233700.0
2025-01-22,204.0,204.0,208.0,204.0,208.0,150100.0
2025-01-23,204.0,204.0,210.0,204.0,206.0,41200.0
2025-01-24,204.0,204.0,208.0,204.0,208.0,52700.0
2025-01-30,206.0,206.0,210.0,202.0,202.0,64000.0
2025-01-31,256.0,256.0,256.0,204.0,204.0,19777500.0
2025-02-03,216.0,216.0,276.0,206.0,268.0,10624200.0
2025-02-04,214.0,214.0,218.0,208.0,218.0,1975400.0
2025-02-05,214.0,214.0,216.0,210.0,212.0,469500.0
2025-02-06,210.0,210.0,214.0,208.0,214.0,587200.0
2025-02-07,208.0,208.0,214.0,206.0,212.0,563400.0
2025-02-10,206.0,206.0,212.0,204.0,212.0,324900.0
2025-02-11,202.0,202.0,208.0,202.0,208.0,503900.0
2025-02-12,204.0,204.0,208.0,202.0,202.0,232300.0
2025-02-13,208.0,208.0,210.0,204.0,204.0,586300.0
2025-02-14,208.0,208.0,212.0,194.0,212.0,1070400.0
2025-02-17,208.0,208.0,208.0,202.0,204.0,1191100.0
2025-02-18,208.0,208.0,208.0,204.0,208.0,131000.0
2025-02-19,202.0,202.0,208.0,202.0,208.0,633300.0
2025-02-20,202.0,202.0,206.0,200.0,206.0,329700.0
2025-02-21,202.0,202.0,206.0,202.0,202.0,86000.0
2025-02-24,204.0,204.0,204.0,200.0,202.0,243100.0
2025-02-25,200.0,200.0,204.0,199.0,204.0,288800.0
2025-02-26,199.0,199.0,202.0,197.0,197.0,131600.0
2025-02-27,199.0,199.0,200.0,196.0,198.0,397900.0
2025-02-28,198.0,198.0,202.0,197.0,200.0,77300.0
2025-03-03,198.0,198.0,199.0,194.0,199.0,124600.0
2025-03-04,196.0,196.0,200.0,195.0,198.0,93800.0
2025-03-05,198.0,198.0,202.0,196.0,196.0,61700.0
2025-03-06,200.0,200.0,200.0,197.0,198.0,144800.0
2025-03-07,200.0,200.0,200.0,198.0,200.0,222300.0
2025-03-10,200.0,200.0,204.0,198.0,200.0,155900.0
2025-03-11,198.0,198.0,202.0,198.0,202.0,34100.0
2025-03-12,198.0,198.0,202.0,198.0,202.0,68700.0
2025-03-13,192.0,192.0,199.0,190.0,198.0,262200.0
2025-03-14,192.0,192.0,198.0,190.0,192.0,206600.0
2025-03-17,192.0,192.0,193.0,191.0,192.0,31300.0
2025-03-18,193.0,193.0,198.0,189.0,198.0,265000.0
2025-03-19,191.0,191.0,195.0,190.0,192.0,116700.0
2025-03-20,190.0,190.0,192.0,190.0,192.0,42500.0
2025-03-21,182.0,182.0,192.0,182.0,190.0,158500.0
2025-03-24,183.0,183.0,189.0,182.0,189.0,98900.0
2025-03-25,186.0,186.0,193.0,183.0,183.0,96900.0
2025-03-26,189.0,189.0,190.0,187.0,190.0,11400.0
2025-03-27,192.0,192.0,193.0,190.0,190.0,6800.0
2025-04-08,183.0,183.0,191.0,183.0,191.0,96800.0
2025-04-09,180.0,180.0,183.0,180.0,183.0,148800.0
2025-04-10,189.0,189.0,192.0,186.0,192.0,25600.0
2025-04-11,188.0,188.0,188.0,186.0,188.0,23200.0
2025-04-14,193.0,193.0,208.0,183.0,188.0,935000.0
2025-04-15,200.0,200.0,202.0,193.0,193.0,1538100.0
2025-04-16,200.0,200.0,202.0,197.0,200.0,1852400.0
2025-04-17,200.0,200.0,200.0,199.0,200.0,51800.0
2025-04-21,199.0,199.0,200.0,195.0,199.0,364800.0
2025-04-22,199.0,199.0,200.0,196.0,199.0,525800.0
2025-04-23,200.0,200.0,200.0,198.0,200.0,1370800.0
2025-04-24,200.0,200.0,208.0,200.0,200.0,780700.0
2025-04-25,202.0,202.0,204.0,202.0,202.0,17800.0
2025-04-28,200.0,200.0,208.0,200.0,208.0,69300.0
2025-04-29,202.0,202.0,204.0,199.0,199.0,1565200.0
2025-04-30,204.0,204.0,206.0,200.0,202.0,142600.0
2025-05-02,202.0,202.0,206.0,200.0,204.0,1074800.0
2025-05-05,204.0,204.0,204.0,200.0,202.0,1659900.0
2025-05-06,199.0,199.0,204.0,197.0,204.0,557500.0
2025-05-07,200.0,200.0,202.0,198.0,200.0,89100.0
2025-05-08,200.0,200.0,200.0,198.0,200.0,51700.0
2025-05-09,197.0,197.0,200.0,197.0,199.0,368200.0
2025-05-14,200.0,200.0,200.0,197.0,197.0,28300.0
2025-05-15,198.0,198.0,204.0,198.0,200.0,274000.0
2025-05-16,199.0,199.0,204.0,198.0,202.0,3900800.0
2025-05-19,196.0,196.0,218.0,193.0,200.0,1701600.0
2025-05-20,198.0,198.0,200.0,197.0,200.0,32900.0
2025-05-21,199.0,199.0,202.0,198.0,200.0,21000.0
2025-05-22,199.0,199.0,200.0,198.0,200.0,21200.0
2025-05-23,199.0,199.0,200.0,198.0,199.0,27600.0
2025-05-26,199.0,199.0,200.0,198.0,200.0,45400.0
2025-05-27,198.0,198.0,200.0,196.0,199.0,256600.0
2025-05-28,198.0,198.0,198.0,197.0,198.0,42100.0
2025-06-02,197.0,197.0,198.0,197.0,198.0,45300.0
2025-06-03,196.0,196.0,199.0,196.0,199.0,147700.0
2025-06-04,196.0,196.0,197.0,195.0,196.0,80700.0
2025-06-05,196.0,196.0,197.0,194.0,196.0,70400.0
2025-06-10,195.0,195.0,197.0,195.0,197.0,27800.0
2025-06-11,195.0,195.0,197.0,194.0,196.0,37000.0
2025-06-12,195.0,195.0,196.0,194.0,195.0,72300.0
2025-06-13,194.0,194.0,195.0,193.0,195.0,238100.0
2025-06-16,194.0,194.0,195.0,193.0,194.0,251300.0
2025-06-17,194.0,194.0,194.0,193.0,193.0,73100.0
2025-06-18,194.0,194.0,194.0,193.0,194.0,3200.0
2025-06-19,193.0,193.0,194.0,190.0,193.0,132800.0
2025-06-20,192.0,192.0,193.0,190.0,193.0,23700.0
2025-06-23,189.0,189.0,193.0,189.0,190.0,352000.0
2025-06-24,197.0,197.0,200.0,190.0,190.0,24300.0
2025-06-25,192.0,192.0,197.0,189.0,197.0,185600.0
2025-06-26,192.0,192.0,192.0,190.0,191.0,134300.0
2025-06-30,190.0,190.0,193.0,190.0,192.0,124500.0
2025-07-01,186.0,186.0,190.0,186.0,190.0,156100.0
2025-07-02,182.0,182.0,192.0,182.0,190.0,358200.0
2025-07-03,189.0,189.0,195.0,180.0,180.0,302600.0
2025-07-04,186.0,186.0,193.0,186.0,193.0,12000.0
2025-07-07,181.0,181.0,189.0,180.0,180.0,37100.0
2025-07-08,183.0,183.0,191.0,180.0,182.0,50000.0
2025-07-09,183.0,183.0,183.0,180.0,182.0,155100.0
2025-07-10,183.0,183.0,190.0,175.0,190.0,310300.0
2025-07-11,179.0,179.0,185.0,176.0,185.0,212300.0
2025-07-14,180.0,180.0,180.0,175.0,179.0,221000.0
2025-07-15,178.0,178.0,179.0,176.0,179.0,83100.0
2025-07-16,177.0,177.0,178.0,176.0,178.0,115400.0
2025-07-17,177.0,177.0,178.0,176.0,178.0,86100.0
2025-07-18,170.0,170.0,178.0,169.0,178.0,593000.0
2025-07-21,171.0,171.0,171.0,168.0,170.0,342400.0
2025-07-22,168.0,168.0,172.0,166.0,171.0,193600.0
2025-07-23,168.0,168.0,174.0,165.0,174.0,116400.0
2025-07-24,166.0,166.0,168.0,165.0,168.0,158300.0
2025-07-25,167.0,167.0,168.0,166.0,168.0,67400.0
2025-07-28,179.0,179.0,180.0,167.0,167.0,168400.0
